구간 번호,관리청,도로 분류,대표지역,도로(노선)명,0,기점 위도(WGS84(4326)),기점 경도(WGS84(4326)),종점 위도(WGS84(4326)),종점 경도(WGS84(4326)),정북기준 도로방향 각도(x1),정북기준 도로방향 각도(y1),정북기준 도로방향 각도(기점 기준십진수 방위각)
11001-1,서울특별시(시설공단),시도,서울특별시 서초구,서초보금자리,0.13,37.45923128,127.0185329,37.46034474,127.0228681,-0.004335153,-0.001113459,194.4047203
11650-22,서울특별시(서초구),구도,서울특별시 서초구,양재천교 하부 언더패스,0.27,37.47149773,127.0312976,37.47312515,127.0330639,-0.001766308,-0.001627419,222.6564536
11000-1,서울특별시(본청),시도,서울특별시 강남구,남부순환로,0.17,37.48480314,127.0356353,37.48414554,127.0311683,0.004467008,0.000657603,8.374544597
11650-20,서울특별시(서초구),시도,서울특별시 서초구,양재지하차도,0.17,37.48473533,127.0357734,37.48414554,127.0311683,0.004605171,0.000589784,7.298139507
11001-1,서울특별시(시설공단),시도,서울특별시 서초구,매헌지하차도,1.59,37.46103899,127.0364703,37.46292792,127.0391871,-0.002716751,-0.001888932,214.8105243
11650-21,서울특별시(서초구),구도,서울특별시 서초구,영동1교 하부 언더패스,0.17,37.47475591,127.0370449,37.47588787,127.0397891,-0.002744227,-0.001131958,202.4155085
11230-6,서울특별시(동대문구),구도,서울특별시 동대문구,고산자로30길,0.04,37.574832,127.04356,37.574657,127.043927,-0.000367,0.000175,154.5063622
11001-1,서울특별시(시설공단),시도,서울특별시 서초구,염곡지하차도,0.35,37.46477462,127.0439242,37.46686534,127.0416379,0.002286373,-0.002090728,317.5592665
70100-12,한국도로공사(한국도로공사),고속국도,서울특별시 서초구,1호선,1,37.44946518,127.0529983,37.45674734,127.046344,0.006654232,-0.00728216,312.4201854
11350-9,서울특별시(노원구),시도,서울특별시 노원구,월계로,0.3,37.63102183,127.0603856,37.62936575,127.0576871,0.00269849,0.001656089,31.53783273
11350-10,서울특별시(노원구),시도,서울특별시 노원구,마들로,0.56,37.63398186,127.0604363,37.62886546,127.0639168,-0.00348055,0.005116404,124.2263834
11230-3,서울특별시(동대문구),구도,서울특별시 동대문구,휘경로,0.09,37.59580681,127.0616151,37.59467589,127.0640903,-0.0024752,0.00113092,155.4443177
11650-24,서울특별시(서초구),시도,서울특별시 서초구,헌릉로,1.56,37.45465708,127.0651546,37.45567194,127.0675379,-0.002383273,-0.001014864,203.0656618
11230-5,서울특별시(동대문구),구도,서울특별시 동대문구,이문로42길,0.05,37.600516,127.067402,37.600833,127.066175,0.001227,-0.000317,345.5141721
11230-4,서울특별시(동대문구),구도,서울특별시 동대문구,한천로 58길,0.17,37.60481161,127.0676556,37.60486059,127.0698241,-0.0021685,-4.90E-05,181.2939222
11350-11,서울특별시(노원구),시도,서울특별시 노원구,화랑로,0.5,37.61555805,127.0685667,37.61410904,127.0628817,0.005684995,0.001449015,14.29931712
11230-2,서울특별시(동대문구),구도,서울특별시 동대문구,장안벚꽃로,0.05,37.56126225,127.0711586,37.55992342,127.0700215,0.0011371,0.00133883,49.65796803
11710-5,서울특별시(송파구),구도,서울특별시 송파구,탄천동로,0.4,37.50431781,127.0726759,37.50286991,127.0761382,-0.003462304,0.001447896,157.3058708
11230-1,서울특별시(동대문구),구도,서울특별시 동대문구,장안벚꽃로,0.1,37.58122351,127.0754549,37.57868414,127.0762972,-0.000842265,0.002539374,108.3497638
11710-3,서울특별시(송파구),구도,서울특별시 송파구,한가람로,0.7,37.51539368,127.077466,37.51648649,127.0789977,-0.001531626,-0.00109281,215.5077221
11710-4,서울특별시(송파구),구도,서울특별시 송파구,탄천동로,0.5,37.50190503,127.0809183,37.50020097,127.0869243,-0.006005924,0.001704053,164.1598389
11350-1,서울특별시(노원구),구도,서울특별시 노원구,덕릉고개,2.4,37.6751545,127.0866385,37.67647391,127.0856073,0.001031162,-0.001319403,308.0089318
70204-6,민자고속도로(서울고속도로(주)),고속국도,서울특별시 노원구,100호선,0.64,37.67585161,127.08841,37.67553317,127.0881042,0.000305772,0.000318438,46.16249434
70206-2,민자고속도로(경수고속도로(주)),고속국도,서울특별시 강남구,171호선,0.37,37.46472222,127.0927778,37.46555556,127.0913889,0.00138889,-0.00083334,329.0360615
11710-8,서울특별시(송파구),시도,서울특별시 송파구,잠실대교 남단,0.5,37.51859392,127.0960453,37.51584762,127.0981407,-0.002095347,0.002746295,127.3426228
11710-6,서울특별시(송파구),구도,서울특별시 송파구,탄천제방길,0.3,37.49674995,127.0978488,37.4956821,127.1000474,-0.002198581,0.00106785,154.0941693
11000-1,서울특별시(동부도로사업소),광역시도,서울특별시 송파구,석촌지하차도,0.47,37.50265097,127.0995419,37.50425095,127.1050785,-0.005536587,-0.001599986,196.1184611
11215-1,서울특별시(광진구),구도,서울특별시 광진구,워커힐로,1,37.55079182,127.100871,37.55336842,127.0974968,0.003374182,-0.002576601,322.6338382
11215-3,서울특별시(광진구),시도,서울특별시 광진구,천호대로,1,37.5464287,127.1009516,37.54888775,127.0939981,0.006953525,-0.002459053,340.5243094
11710-12,서울특별시(송파구),구도,서울특별시 송파구,송파나루지하차도,0.36,37.51151114,127.1025563,37.51325147,127.106404,-0.003847639,-0.001740332,204.3377891
11000-1,서울특별시(동부도로사업소),광역시도,서울특별시 송파구,가락지하차도,0.43,37.49501123,127.1067669,37.49928488,127.112502,-0.005735095,-0.004273645,216.6925269
11710-9,서울특별시(송파구),구도,서울특별시 송파구,강동대로,0.3,37.5288338,127.1092467,37.52739989,127.1121454,-0.002898687,0.00143391,153.6795083
11215-2,서울특별시(광진구),시도,서울특별시 광진구,아차산로,2,37.55862257,127.1116912,37.56173594,127.1147217,-0.003030518,-0.00311337,225.7726096
11000-1,서울특별시(동부도로사업소),광역시도,서울특별시 송파구,송파지하차도,0.4,37.49961353,127.112388,37.49631616,127.1105761,0.001811908,0.003297371,61.2111757
70212-1,민자고속도로(서울북부고속도로(주)),고속국도,서울특별시 중랑구,29호선,1,37.60116219,127.1140907,37.60999762,127.1147235,-0.000632778,-0.00883543,265.903571
11710-7,서울특별시(송파구),구도,서울특별시 송파구,거마로 고갯길,0.4,37.49409682,127.1447913,37.49721335,127.1461942,-0.00140296,-0.003116529,245.7642779
11740-3,서울특별시(강동구),구도,서울특별시 강동구,구천면로,0.4,37.5491,127.1562,37.5503,127.1607,-0.0045,-0.0012,194.9314172
